"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Johnny Hekker",7252,"P","LA",1,4,4,4.22,42,49.75,11,0,0,1,1,26,59.6,0,57,0,0,25,11,1,4,16.86,168,1,199,9,2021
"Sam Martin",7947,"P","DEN",1,3,3,2.93,31.33,31.33,0,0,0,0,1,10,58.7,0,51,0,0,66.7,0,2,3,8.8,94,0,94,9,2021
"Pat O'Donnell",8826,"P","CHI",1,5,5,4.12,41.2,46.8,7,0,0,0,1,6,57.6,3,57,0,0,80,28,4,5,20.59,206,0,234,9,2021
"Michael Palardy",9277,"P","MIA",1,5,5,4.18,41,41.4,2,0,0,1,3,17,59,3,50,0,0,20,2,1,5,20.89,205,0,207,9,2021
"Jordan Berry",10236,"P","MIN",1,5,5,4.16,41.6,48.4,14,0,0,1,1,18,57.6,3,54,1,0,20,14,1,5,20.82,208,1,242,9,2021
"Riley Dixon",10862,"P","NYG",1,3,3,4.21,47,48.67,5,0,0,1,1,21,61.6,3,58,0,0,33.3,5,1,3,12.62,141,0,146,9,2021
"Lachlan Edwards",10869,"P","CAR",1,4,4,4.23,40.75,51.25,14,0,0,0,1,5,59.4,0,59,0,0,75,42,3,4,16.91,163,0,205,9,2021
"Rigoberto Sanchez",12130,"P","IND",1,2,2,4.25,42.5,42.5,,0,0,1,1,14,60.5,1,47,0,0,0,0,0,2,8.5,85,0,85,9,2021
"Matt Haack",12212,"P","BUF",1,3,3,3.87,38,49.33,14,0,0,1,0,4,55.7,0,59,0,0,33.3,14,1,3,11.61,114,1,148,9,2021
"Cameron Johnston",12255,"P","HST",1,5,5,4.35,40.8,47,10.3,0,0,0,2,13,58.8,3,58,0,0,60,31,3,5,21.77,204,0,235,9,2021
"Corey Bojorquez",27626,"P","GB",1,4,4,4.54,48.5,54.25,1.5,0,0,1,0,12,60.2,1,63,0,0,50,3,2,4,18.14,194,1,217,9,2021
"Logan Cooke",29214,"P","JAX",1,4,4,4.33,45,45,0,0,0,2,1,15,57.2,2,53,0,0,25,0,1,4,17.31,180,0,180,9,2021
