unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
damionsquare_lv_2021,damionsquare,lv,2021,di,74,293,5.22,2013,10,300
lerenteemccray_jax_2021,lerenteemccray,jax,2021,ed,75,249,,2013,10,300
bensonmayowa_sea_2021,bensonmayowa,sea,2021,ed,75,265,,2013,10,300
bradleymcdougald_ten_2021,bradleymcdougald,ten,2021,s,73,215,4.74,2013,10,300
bradleymcdougald_jax_2021,bradleymcdougald,jax,2021,s,73,215,4.74,2013,10,300
jeffheath_no_2021,jeffheath,no,2021,s,73,212,,2013,10,300
demetriusharris_ari_2021,demetriusharris,ari,2021,te,79,230,,2013,10,300
mikepurcell_den_2021,mikepurcell,den,2021,di,75,328,,2013,10,300
jadeveonclowney_cle_2021,jadeveonclowney,cle,2021,ed,77,255,4.53,2014,1,1
khalilmack_chi_2021,khalilmack,chi,2021,ed,75,269,4.65,2014,1,5
aarondonald_lar_2021,aarondonald,lar,2021,di,73,280,4.68,2014,1,13
kylefuller_den_2021,kylefuller,den,2021,cb,71,200,4.4,2014,1,14
cjmosley_nyj_2021,cjmosley,nyj,2021,lb,74,231,,2014,1,17
deeford_sf_2021,deeford,sf,2021,ed,74,252,,2014,1,23
jasonverrett_sf_2021,jasonverrett,sf,2021,cb,70,188,4.38,2014,1,25
jimmieward_sf_2021,jimmieward,sf,2021,s,71,195,,2014,1,30
demarcuslawrence_dal_2021,demarcuslawrence,dal,2021,ed,75,265,4.8,2014,2,34
kylevannoy_ne_2021,kylevannoy,ne,2021,lb,75,250,4.71,2014,2,40
lamarcusjoyner_nyj_2021,lamarcusjoyner,nyj,2021,s,68,185,4.55,2014,2,41
jeremiahattaochu_chi_2021,jeremiahattaochu,chi,2021,ed,75,252,,2014,2,50
christiankirksey_hou_2021,christiankirksey,hou,2021,lb,74,235,,2014,3,71
terrencebrooks_hou_2021,terrencebrooks,hou,2021,s,71,200,4.41,2014,3,79
bashaudbreeland_min_2021,bashaudbreeland,min,2021,cb,71,195,4.53,2014,4,102
justinellis_bal_2021,justinellis,bal,2021,di,74,334,5.27,2014,4,107
rosscockrell_tb_2021,rosscockrell,tb,2021,cb,72,190,4.43,2014,4,109
daquanjones_car_2021,daquanjones,car,2021,di,76,320,5.35,2014,4,112
anthonyhitchens_kc_2021,anthonyhitchens,kc,2021,lb,72,235,4.74,2014,4,119
dontaejohnson_sf_2021,dontaejohnson,sf,2021,cb,74,200,4.45,2014,4,129
brenturban_dal_2021,brenturban,dal,2021,di,79,309,,2014,4,134
ricardoallen_cin_2021,ricardoallen,cin,2021,s,69,186,4.53,2014,5,147
devonkennard_ari_2021,devonkennard,ari,2021,ed,75,256,4.7,2014,5,174
tjcarrie_ind_2021,tjcarrie,ind,2021,cb,72,204,,2014,7,219
shamarstephen_den_2021,shamarstephen,den,2021,di,77,309,5.25,2014,7,220
shelbyharris_den_2021,shelbyharris,den,2021,di,75,300,,2014,7,235
terrancemitchell_hou_2021,terrancemitchell,hou,2021,cb,71,191,4.63,2014,7,254
denicoautry_ten_2021,denicoautry,ten,2021,ed,77,285,,2014,10,300
