player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Justin Pugh,7800,G,ARZ,1,0,1,71.8,0,0,52,100.0,100.0,100.0,0,0,0,60,60,85.5,0,0,13,100.0,100.0,100.0,0,0,18,18,2,2022
Trai Turner,8727,G,WAS,1,0,32,76.4,0,1,53,100.0,100.0,99.1,0,1,0,55,55,72.0,0,0,20,100.0,100.0,100.0,0,0,21,21,2,2022
Charles Leno Jr.,8880,T,WAS,1,0,32,70.7,0,4,53,100.0,100.0,94.3,0,5,1,55,55,43.8,0,4,20,100.0,100.0,85.0,5,1,21,21,2,2022
Samuel Cosmi,60114,T,WAS,1,0,32,64.7,0,2,53,100.0,100.0,98.1,0,2,0,55,55,45.3,0,2,20,100.0,100.0,95.0,2,0,21,21,2,2022
Andrew Norwell,9126,G,WAS,1,0,32,68.0,1,1,53,100.0,100.0,96.2,0,3,1,55,55,61.5,0,1,20,100.0,100.0,92.5,2,1,21,21,2,2022
Chase Roullier,11954,C,WAS,1,0,32,75.7,0,2,52,100.0,100.0,98.1,0,2,0,54,54,81.2,0,1,19,100.0,100.0,97.4,1,0,20,20,2,2022
Terron Armstead,7856,T,MIA,1,0,17,80.6,0,2,51,100.0,100.0,98.0,0,2,0,53,53,87.2,0,0,12,100.0,100.0,100.0,0,0,12,12,2,2022
Liam Eichenberg,41851,G,MIA,1,0,17,22.8,0,2,51,100.0,100.0,98.0,0,2,0,53,53,1.5,0,0,12,100.0,100.0,100.0,0,0,12,12,2,2022
Greg Little,46254,T,MIA,1,0,17,56.4,0,1,51,100.0,100.0,99.0,0,1,0,53,53,39.7,0,1,12,100.0,100.0,95.8,1,0,12,12,2,2022
Robert Hunt,46139,G,MIA,1,1,17,82.3,0,1,51,100.0,100.0,99.0,1,1,0,53,53,64.5,0,1,12,100.0,100.0,95.8,1,0,12,12,2,2022
Connor Williams,46216,C,MIA,1,0,17,42.0,0,2,51,100.0,100.0,98.0,1,2,0,53,53,10.9,0,2,12,100.0,100.0,91.7,2,0,12,12,2,2022
